[Wed Nov 28 17:35:48.919976 2018] [:error] [pid 457662] [client 200.194.24.135:60299] PHP Notice:  Undefined index: customer_id in /home/voz/public_html/index.php on line 7
[Wed Nov 28 17:35:49.058722 2018] [:error] [pid 457662] [client 200.194.24.135:60299] PHP Notice:  Undefined index: customer_id in /home/voz/public_html/index.php on line 7, referer: http://voz.amovil.mx/
[Wed Nov 28 17:35:50.902210 2018] [:error] [pid 457662] [client 200.194.24.135:60299] PHP Notice:  Undefined index: customer_id in /home/voz/public_html/index.php on line 7, referer: http://voz.amovil.mx/
[Wed Nov 28 17:35:50.903102 2018] [:error] [pid 457662] [client 200.194.24.135:60299] PHP Notice:  Undefined variable: message in /home/voz/App/controllers/Login.php on line 30, referer: http://voz.amovil.mx/
[Wed Nov 28 17:35:50.903118 2018] [:error] [pid 457662] [client 200.194.24.135:60299] PHP Notice:  Undefined variable: extraHeader in /home/voz/App/controllers/Login.php on line 31, referer: http://voz.amovil.mx/
[Wed Nov 28 17:35:51.165135 2018] [:error] [pid 457662] [client 200.194.24.135:60299] PHP Notice:  Undefined index: customer_id in /home/voz/public_html/index.php on line 7, referer: http://voz.amovil.mx/Login
[Wed Nov 28 17:36:11.219750 2018] [:error] [pid 457662] [client 200.194.24.135:60299] PHP Notice:  Undefined index: customer_id in /home/voz/public_html/index.php on line 7
[Wed Nov 28 17:36:11.219872 2018] [:error] [pid 457662] [client 200.194.24.135:60299] PHP Notice:  Undefined variable: message in /home/voz/App/controllers/Login.php on line 30
[Wed Nov 28 17:36:11.219881 2018] [:error] [pid 457662] [client 200.194.24.135:60299] PHP Notice:  Undefined variable: extraHeader in /home/voz/App/controllers/Login.php on line 31
[Wed Nov 28 17:36:11.371378 2018] [:error] [pid 457695] [client 200.194.24.135:60302] PHP Notice:  Undefined index: customer_id in /home/voz/public_html/index.php on line 7, referer: http://voz.amovil.mx/Login
[Wed Nov 28 17:36:15.805209 2018] [:error] [pid 457695] [client 200.194.24.135:60302] PHP Notice:  Undefined index: customer_id in /home/voz/public_html/index.php on line 7
